NOTA_CANDIDATO;NOTA_CORTE;MARGEM;CLASSIFICACAO;IDADE;QT_VAGAS_CONCORRENCIA;GRAU;TURNO;TIPO_MOD_CONCORRENCIA;TP_COTA;SEXO;OPCAO;MESMA_UF;EFETIVOU
655.72;795.7;-139.98000000000002;680;25;45;Bacharelado;Integral;A;AMPLA;F;2;0;0
402.68;521.84;-119.16000000000003;10;30;4;Bacharelado;Noturno;L;PPI ;F;2;1;0
735.68;750.44;-14.760000000000105;37;24;13;Bacharelado;Integral;L;D   ;F;1;1;0
627.77;641.66;-13.889999999999986;33;19;9;Bacharelado;Integral;A;AMPLA;F;2;0;0
654.51;645.17;9.340000000000032;9;19;15;Bacharelado;Vespertino;A;AMPLA;F;1;0;1
468.32;672.56;-204.23999999999995;41;18;5;Bacharelado;Integral;L;D   ;F;2;1;0
578.12;633.6;-55.48000000000002;6;19;2;Área Básica de Ingresso (ABI);Noturno;L;D   ;F;2;1;1
764.55;749.54;15.009999999999991;9;22;22;Bacharelado;Integral;A;AMPLA;F;1;1;1
596.9;775.21;-178.31000000000006;557;20;9;Bacharelado;Integral;A;AMPLA;F;1;1;0
598.56;688.93;-90.37;18;20;4;Bacharelado;Noturno;L;D   ;F;1;1;0
725.29;749.54;-24.25;53;20;22;Bacharelado;Integral;A;AMPLA;F;1;0;0
655.33;678.0;-22.66999999999996;70;20;30;Bacharelado;Noturno;A;AMPLA;F;2;1;0
658.57;658.57;0.0;2;18;2;Bacharelado;Integral;L;D   ;F;1;1;1
735.53;747.23;-11.700000000000045;149;19;90;Bacharelado;Integral;A;AMPLA;F;1;1;1
523.54;494.56;28.97999999999996;3;19;4;Bacharelado;Integral;L;PPI ;M;1;1;1
487.7;530.84;-43.14000000000004;11;21;6;Bacharelado;Matutino;L;PP  ;M;1;1;0
570.87;656.69;-85.82000000000005;9;18;5;Bacharelado;Integral;L;D   ;M;1;1;1
686.26;689.55;-3.2899999999999636;21;18;10;Bacharelado;Integral;A;AMPLA;F;1;0;0
659.7;652.68;7.0200000000000955;18;20;23;Bacharelado;Integral;A;AMPLA;M;1;1;1
696.09;689.16;6.930000000000064;1;21;3;Bacharelado;Integral;L;D   ;F;2;1;1
504.38;;;5;19;16;Bacharelado;Noturno;L;D   ;F;2;0;0
548.04;588.84;-40.80000000000007;8;18;3;Bacharelado;Integral;L;PPI ;F;1;1;1
505.11;538.38;-33.26999999999998;18;21;6;Bacharelado;Noturno;A;AMPLA;F;1;1;0
535.07;520.97;14.100000000000023;3;18;5;Bacharelado;Integral;L;PPI ;F;2;1;1
445.4;535.23;-89.83000000000004;8;19;5;Tecnológico;Integral;L;PPI ;M;1;1;0
492.01;626.05;-134.03999999999996;28;19;7;Bacharelado;Integral;L;PPI ;F;1;1;0
739.82;699.34;40.48000000000002;11;18;29;Bacharelado;Integral;A;AMPLA;F;1;1;1
554.3;580.81;-26.50999999999999;11;20;5;Licenciatura;Noturno;B;AMPLA;F;1;1;0
547.82;694.3;-146.4799999999999;129;18;15;Bacharelado;Integral;A;AMPLA;F;1;1;0
517.12;529.25;-12.129999999999995;13;31;9;Bacharelado;Integral;L;PPI ;M;1;1;1
498.18;;;2;18;7;Bacharelado;Integral;L;PPI ;F;1;0;0
662.18;708.71;-46.530000000000086;50;25;20;Bacharelado;Integral;A;AMPLA;M;1;1;1
559.46;681.22;-121.75999999999999;92;20;12;Bacharelado;Integral;A;AMPLA;M;2;1;0
474.76;;;8;18;16;Bacharelado;Noturno;L;D   ;F;1;0;0
580.53;531.12;49.40999999999997;2;18;6;Bacharelado;Integral;A;AMPLA;M;1;1;1
691.12;636.14;54.98000000000002;3;19;7;Bacharelado;Matutino;A;AMPLA;M;1;0;0
465.08;486.88;-21.80000000000001;58;20;55;Bacharelado;Integral;A;AMPLA;F;2;0;0
606.58;608.52;-1.9399999999999409;11;30;10;Bacharelado;Integral;L;PPI ;F;2;1;0
546.27;678.0;-131.73000000000002;195;18;30;Bacharelado;Noturno;A;AMPLA;F;2;1;0
594.58;562.82;31.75999999999999;5;18;7;Bacharelado;Integral;A;AMPLA;F;1;1;0
493.73;400.98;92.75;24;17;4;Bacharelado;Integral;V;AMPLA;F;2;1;0
552.6;521.94;30.659999999999968;1;19;5;Bacharelado;Integral;L;PP  ;F;1;1;1
660.68;624.7;35.979999999999905;1;18;40;Bacharelado;Integral;A;AMPLA;M;1;0;0
635.49;681.22;-45.73000000000002;51;18;12;Bacharelado;Integral;A;AMPLA;F;1;1;0
544.49;621.69;-77.20000000000005;65;20;20;Bacharelado;Vespertino;B;AMPLA;F;1;1;1
603.58;593.92;9.660000000000082;3;19;4;Bacharelado;Integral;L;PPI ;F;2;0;0
557.04;549.16;7.8799999999999955;5;21;6;Tecnológico;Noturno;L;D   ;F;1;0;0
570.52;577.65;-7.1299999999999955;9;19;6;Licenciatura;Integral;L;D   ;M;1;1;1
531.18;520.6;10.579999999999927;7;19;10;Licenciatura;Noturno;B;AMPLA;M;2;1;0
613.56;576.66;36.89999999999998;1;18;5;Bacharelado;Integral;L;PPI ;F;1;0;0
419.84;633.28;-213.44;14;19;2;Bacharelado;Integral;L;D   ;F;1;1;1
522.51;;;7;19;14;Licenciatura;Vespertino;A;AMPLA;F;1;0;0
640.84;704.34;-63.5;86;19;18;Bacharelado;Integral;A;AMPLA;M;2;1;1
713.01;696.99;16.019999999999982;24;18;35;Bacharelado;Integral;A;AMPLA;M;1;1;1
616.63;708.34;-91.71000000000004;148;19;27;Bacharelado;Matutino;A;AMPLA;F;1;1;0
616.74;616.74;0.0;1;20;1;Licenciatura;Matutino;L;D   ;M;1;1;0
599.74;628.64;-28.899999999999977;22;20;8;Bacharelado;Integral;L;PP  ;F;1;1;1
720.43;795.7;-75.2700000000001;394;22;45;Bacharelado;Integral;A;AMPLA;M;1;0;0
580.83;583.98;-3.1499999999999773;6;19;5;Bacharelado;Noturno;L;D   ;F;2;1;1
485.05;594.77;-109.71999999999997;7;22;5;Bacharelado;Integral;L;PPI ;F;1;0;0
600.94;645.55;-44.6099999999999;58;39;15;Licenciatura;Matutino;B;AMPLA;M;1;1;1
625.52;656.75;-31.230000000000018;3;19;1;Bacharelado;Integral;L;D   ;F;1;1;0
602.76;581.81;20.950000000000045;2;21;5;Bacharelado;Noturno;L;PPI ;M;1;1;0
742.76;753.72;-10.960000000000036;39;20;10;Bacharelado;Integral;L;D   ;M;2;0;0
712.56;729.03;-16.470000000000027;58;18;30;Bacharelado;Noturno;A;AMPLA;F;1;1;1
541.92;530.44;11.479999999999905;3;18;5;Bacharelado;Integral;L;PPI ;F;1;1;0
543.71;567.45;-23.74000000000001;10;19;5;Bacharelado;Integral;L;PPI ;M;1;1;0
522.48;477.28;45.200000000000045;1;19;2;Bacharelado;Integral;L;PPI ;M;2;0;0
580.1;586.1;-6.0;7;21;5;Bacharelado;Noturno;L;PPI ;F;1;1;1
553.89;630.78;-76.88999999999999;60;29;1;Bacharelado;Integral;V;AMPLA;M;2;1;0
550.23;530.72;19.50999999999999;2;19;5;Bacharelado;Integral;L;D   ;M;1;1;0
433.88;490.82;-56.94;9;19;5;Licenciatura;Vespertino;L;PP  ;F;1;1;1
497.63;508.23;-10.600000000000023;9;19;7;Tecnológico;Noturno;A;AMPLA;M;1;1;1
540.18;545.32;-5.1400000000001;21;19;20;Bacharelado;Integral;B;AMPLA;F;1;1;1
610.06;558.76;51.299999999999955;7;35;20;Bacharelado;Noturno;A;AMPLA;M;1;1;0
815.66;816.33;-0.6700000000000728;55;23;50;Bacharelado;Integral;A;AMPLA;F;1;1;1
597.02;564.36;32.65999999999997;1;19;6;Tecnológico;Noturno;L;D   ;F;1;0;0
613.15;584.82;28.329999999999927;6;21;10;Licenciatura;Noturno;A;AMPLA;M;1;1;1
592.3;589.53;2.769999999999982;11;21;11;Licenciatura;Matutino;A;AMPLA;F;1;1;1
610.4;749.54;-139.14;163;21;22;Bacharelado;Integral;A;AMPLA;F;1;1;0
558.46;549.16;9.300000000000068;4;20;6;Tecnológico;Noturno;L;D   ;F;2;0;0
609.67;585.22;24.449999999999932;1;21;4;Licenciatura;Noturno;L;PPI ;M;1;1;1
640.12;601.08;39.039999999999964;2;19;4;Bacharelado;Integral;L;D   ;M;1;1;1
487.66;540.69;-53.03000000000003;3;18;1;Bacharelado;Integral;L;PPI ;M;1;1;0
544.42;544.42;0.0;4;20;4;Área Básica de Ingresso (ABI);Integral;L;D   ;M;1;1;1
558.8;697.13;-138.33000000000004;24;20;3;Bacharelado;Integral;L;D   ;F;1;1;0
560.02;514.17;45.85000000000002;2;20;5;Licenciatura;Matutino;L;PPI ;F;1;1;0
562.39;531.52;30.870000000000005;26;19;20;Bacharelado;Integral;A;AMPLA;F;2;1;0
574.77;531.38;43.389999999999986;1;20;3;Bacharelado;Integral;L;D   ;M;1;1;1
635.39;;;2;19;30;Bacharelado;Noturno;A;AMPLA;F;1;0;0
676.54;729.6;-53.06000000000006;26;19;3;Bacharelado;Integral;L;PPI ;F;2;1;0
552.04;604.37;-52.33000000000004;28;18;22;Bacharelado;Integral;A;AMPLA;M;1;1;0
682.98;677.1;5.8799999999999955;9;25;7;Bacharelado;Integral;A;AMPLA;F;2;0;0
593.16;;;12;22;20;Licenciatura;Integral;A;AMPLA;F;1;0;0
538.31;538.31;0.0;4;45;4;Bacharelado;Integral;L;PPI ;M;1;1;0
295.48;648.55;-353.06999999999994;43;26;4;Bacharelado;Integral;L;PPI ;M;2;0;0
707.86;723.6;-15.740000000000009;13;22;3;Bacharelado;Integral;L;PPI ;F;1;0;0
532.16;537.48;-5.32000000000005;19;20;6;Licenciatura;Noturno;A;AMPLA;F;1;0;0
602.71;618.28;-15.569999999999936;31;19;9;Bacharelado;Integral;A;AMPLA;F;1;0;0
648.23;647.75;0.4800000000000182;4;50;5;Bacharelado;Integral;L;PPI ;M;1;1;0
550.84;550.84;0.0;15;23;14;Licenciatura;Noturno;A;AMPLA;M;2;1;1
577.26;569.24;8.019999999999982;10;22;37;Bacharelado;Noturno;A;AMPLA;M;1;1;1
537.48;539.36;-1.8799999999999955;8;21;7;Bacharelado;Integral;L;PPI ;F;2;1;0
546.64;590.71;-44.07000000000005;12;25;5;Bacharelado;Noturno;L;PPI ;M;1;1;1
647.31;644.72;2.589999999999918;14;18;17;Bacharelado;Integral;A;AMPLA;F;1;1;1
575.14;575.14;0.0;5;26;5;Bacharelado;Vespertino;L;PPI ;F;1;1;0
596.69;647.75;-51.059999999999945;10;20;5;Bacharelado;Integral;L;PPI ;M;1;1;0
670.91;644.45;26.459999999999923;11;19;24;Bacharelado;Integral;A;AMPLA;F;2;1;1
369.43;562.53;-193.09999999999997;5;24;2;Licenciatura;Noturno;L;D   ;F;1;1;1
412.76;537.74;-124.98000000000002;22;19;13;Bacharelado;Integral;B;AMPLA;M;2;1;1
696.06;726.81;-30.75;54;28;18;Bacharelado;Integral;A;AMPLA;M;2;0;0
548.49;579.01;-30.519999999999982;19;18;7;Bacharelado;Integral;L;PPI ;M;1;0;1
496.12;469.28;26.840000000000032;10;19;22;Licenciatura;Vespertino;A;AMPLA;F;2;1;1
662.38;664.51;-2.1299999999999955;26;29;22;Bacharelado;Integral;L;PPI ;M;1;0;1
528.66;528.66;0.0;2;18;2;Licenciatura;Integral;L;D   ;F;1;1;0
538.76;593.32;-54.56000000000006;17;43;5;Bacharelado;Integral;L;PPI ;F;1;1;0
647.34;646.18;1.1600000000000819;19;18;20;Bacharelado;Integral;A;AMPLA;F;1;1;0
707.99;708.34;-0.35000000000002274;28;19;27;Bacharelado;Matutino;A;AMPLA;F;1;1;1
420.09;450.82;-30.730000000000018;9;18;7;Licenciatura;Integral;L;PPI ;F;1;1;0
718.12;652.48;65.63999999999999;6;18;22;Bacharelado;Integral;A;AMPLA;M;2;1;1
550.03;668.24;-118.21000000000004;64;21;4;Bacharelado;Integral;A;AMPLA;M;1;1;0
567.46;636.95;-69.49000000000001;20;20;7;Bacharelado;Integral;L;PPI ;F;1;1;1
621.4;620.92;0.4800000000000182;4;19;1;Bacharelado;Integral;V;AMPLA;F;1;1;0
547.65;457.49;90.15999999999997;3;19;20;Licenciatura;Matutino;B;AMPLA;F;2;1;0
612.7;586.51;26.190000000000055;9;24;14;Licenciatura;Matutino;A;AMPLA;F;1;1;1
568.35;453.2;115.15000000000003;6;29;11;Bacharelado;Noturno;B;AMPLA;F;1;1;1
557.28;607.51;-50.23000000000002;13;22;6;Bacharelado;Integral;L;D   ;M;1;1;1
705.21;711.14;-5.92999999999995;17;19;13;Bacharelado;Integral;A;AMPLA;M;2;1;0
600.37;600.37;0.0;4;22;4;Bacharelado;Integral;L;PPI ;M;1;0;0
614.83;678.89;-64.05999999999995;137;30;12;Bacharelado;Integral;V;AMPLA;F;1;1;0
588.38;575.14;13.240000000000009;3;19;5;Bacharelado;Vespertino;L;PPI ;M;1;1;1
