NOTA_CANDIDATO;NOTA_CORTE;MARGEM;CLASSIFICACAO;IDADE;QT_VAGAS_CONCORRENCIA;GRAU;TURNO;TIPO_MOD_CONCORRENCIA;TP_COTA;SEXO;OPCAO;MESMA_UF;EFETIVOU
643.9;628.24;15.659999999999968;8;19;11;Área Básica de Ingresso (ABI);Noturno;A;AMPLA;F;1;1;1
580.8;608.32;-27.520000000000095;11;23;7;Tecnológico;Integral;L;PPI ;F;1;1;0
462.0;564.17;-102.16999999999996;4;18;2;Bacharelado;Integral;L;PPI ;M;2;1;0
481.68;481.68;0.0;6;18;6;Bacharelado;Vespertino;L;PP  ;F;1;1;0
636.15;766.64;-130.49;249;18;10;Bacharelado;Integral;L;D   ;M;2;1;0
578.36;601.84;-23.480000000000018;9;39;5;Bacharelado;Integral;L;PPI ;F;2;1;0
553.67;672.12;-118.45000000000005;201;19;12;Bacharelado;Integral;V;AMPLA;F;1;1;0
641.76;646.84;-5.080000000000041;16;21;7;Bacharelado;Noturno;A;AMPLA;M;1;0;0
674.48;702.8;-28.319999999999936;13;25;5;Bacharelado;Noturno;L;D   ;M;1;1;1
595.56;646.43;-50.870000000000005;66;18;25;Bacharelado;Integral;A;AMPLA;F;1;0;0
533.53;505.93;27.599999999999966;26;23;20;Licenciatura;Integral;A;AMPLA;M;1;1;0
486.96;;;7;21;16;Licenciatura;Noturno;A;AMPLA;F;2;1;0
554.67;512.74;41.92999999999995;9;19;25;Bacharelado;Noturno;A;AMPLA;M;1;1;0
609.44;583.42;26.020000000000095;7;19;23;Licenciatura;Integral;A;AMPLA;M;1;1;1
622.88;617.18;5.7000000000000455;5;21;6;Bacharelado;Integral;L;PPI ;M;1;0;0
522.68;525.32;-2.6400000000001;21;21;20;Bacharelado;Noturno;L;PP  ;M;1;1;0
684.82;677.8;7.0200000000000955;12;18;20;Bacharelado;Integral;A;AMPLA;M;2;0;0
474.98;472.12;2.8600000000000136;21;23;22;Bacharelado;Integral;A;AMPLA;F;2;0;0
547.11;717.34;-170.23000000000002;40;21;6;Bacharelado;Integral;L;D   ;F;1;1;0
618.48;612.0;6.480000000000018;2;20;4;Bacharelado;Integral;L;D   ;F;2;0;0
533.49;501.81;31.680000000000007;1;19;6;Licenciatura;Noturno;L;PPI ;F;1;1;1
562.46;573.64;-11.17999999999995;2;19;1;Bacharelado;Matutino;L;D   ;M;1;1;1
745.21;755.64;-10.42999999999995;6;20;2;Bacharelado;Integral;L;D   ;F;1;1;1
456.02;681.22;-225.20000000000005;118;19;12;Bacharelado;Integral;A;AMPLA;F;1;0;0
547.73;637.5;-89.76999999999998;58;31;25;Bacharelado;Integral;A;AMPLA;M;1;1;0
