NOTA_CANDIDATO;NOTA_CORTE;MARGEM;CLASSIFICACAO;IDADE;QT_VAGAS_CONCORRENCIA;GRAU;TURNO;TIPO_MOD_CONCORRENCIA;TP_COTA;SEXO;OPCAO;MESMA_UF;EFETIVOU
634.63;676.51;-41.879999999999995;6;20;2;Bacharelado;Integral;L;D   ;F;1;1;1
639.39;658.44;-19.050000000000068;30;21;18;Bacharelado;Noturno;A;AMPLA;F;1;0;0
603.87;548.28;55.59000000000003;3;18;11;Tecnológico;Noturno;A;AMPLA;F;1;1;1
550.78;620.08;-69.30000000000007;23;24;5;Bacharelado;Noturno;L;PPI ;M;1;1;0
622.1;795.7;-173.60000000000002;775;18;45;Bacharelado;Integral;A;AMPLA;F;1;0;0
502.27;;;8;19;17;Licenciatura;Matutino;B;AMPLA;F;1;1;0
614.94;632.06;-17.11999999999989;36;20;22;Bacharelado;Integral;A;AMPLA;F;1;1;1
742.21;753.82;-11.610000000000014;3;30;1;Bacharelado;Integral;L;DD  ;F;1;1;0
619.48;608.94;10.539999999999964;3;26;6;Bacharelado;Integral;L;PPI ;F;2;0;0
567.44;554.94;12.5;1;18;3;Tecnológico;Matutino;L;D   ;M;2;1;1
628.0;712.11;-84.11000000000001;24;21;6;Bacharelado;Integral;L;PPI ;F;1;1;1
599.79;558.21;41.57999999999993;1;19;6;Bacharelado;Integral;L;PPI ;F;2;1;0
500.71;;;11;24;25;Licenciatura;Noturno;A;AMPLA;F;1;1;1
483.0;444.67;38.329999999999984;10;19;20;Licenciatura;Noturno;A;AMPLA;F;2;0;0
531.45;559.52;-28.069999999999936;9;18;5;Bacharelado;Integral;L;PPI ;M;1;1;1
741.75;741.67;0.08000000000004093;5;25;6;Bacharelado;Integral;L;PPI ;M;1;0;0
496.36;521.44;-25.08000000000004;9;18;5;Bacharelado;Noturno;L;PPI ;F;2;1;1
566.41;623.23;-56.82000000000005;34;18;15;Bacharelado;Integral;A;AMPLA;F;1;1;1
642.71;632.97;9.740000000000009;7;19;12;Licenciatura;Vespertino;B;AMPLA;M;2;1;0
539.7;;;16;20;20;Bacharelado;Integral;A;AMPLA;F;2;1;1
547.72;550.86;-3.1399999999999864;22;18;20;Bacharelado;Integral;B;AMPLA;F;1;1;1
550.71;505.93;44.78000000000003;13;18;16;Licenciatura;Integral;V;AMPLA;F;1;1;0
588.88;460.14;128.74;2;19;5;Bacharelado;Integral;L;PPI ;M;1;1;0
493.71;450.21;43.5;9;38;3;Licenciatura;Noturno;V;AMPLA;M;1;1;0
487.75;;;7;33;7;Bacharelado;Vespertino;A;AMPLA;F;1;1;0
566.06;543.39;22.66999999999996;13;18;18;Bacharelado;Noturno;A;AMPLA;M;1;0;0
651.7;672.26;-20.559999999999945;8;18;4;Bacharelado;Integral;B;AMPLA;M;1;1;0
517.27;;;1;26;6;Bacharelado;Vespertino;L;D   ;M;2;0;0
497.79;632.7;-134.91000000000003;15;18;6;Bacharelado;Matutino;A;AMPLA;M;1;1;1
576.38;630.73;-54.35000000000002;59;29;6;Bacharelado;Integral;V;AMPLA;F;2;1;0
