NOTA_CANDIDATO;NOTA_CORTE;MARGEM;CLASSIFICACAO;IDADE;QT_VAGAS_CONCORRENCIA;GRAU;TURNO;TIPO_MOD_CONCORRENCIA;TP_COTA;SEXO;OPCAO;MESMA_UF;EFETIVOU
569.89;539.09;30.799999999999955;10;18;12;Licenciatura;Integral;A;AMPLA;F;1;1;0
567.09;539.09;28.0;11;23;12;Licenciatura;Integral;A;AMPLA;F;1;1;0
503.76;;;1;19;3;Licenciatura;Integral;L;PPI ;F;2;1;1
561.97;575.61;-13.639999999999986;2;22;1;Bacharelado;Integral;L;PPI ;F;2;1;1
575.61;575.61;0.0;1;20;1;Bacharelado;Integral;L;PPI ;F;2;1;0
512.43;;;2;20;3;Licenciatura;Integral;L;PPI ;M;2;1;1
575.51;;;1;20;3;Licenciatura;Integral;L;PPI ;F;1;1;1
524.84;524.84;0.0;1;19;1;Licenciatura;Integral;L;D   ;F;1;1;0
586.03;;;4;24;9;Licenciatura;Noturno;A;AMPLA;F;2;1;1
555.29;;;7;47;9;Licenciatura;Noturno;A;AMPLA;F;1;1;1
602.3;;;3;20;9;Licenciatura;Noturno;A;AMPLA;F;2;1;1
602.97;;;2;19;9;Licenciatura;Noturno;A;AMPLA;F;2;1;1
604.53;;;1;37;9;Licenciatura;Noturno;A;AMPLA;F;1;1;0
539.89;;;8;18;9;Licenciatura;Noturno;A;AMPLA;F;2;1;1
575.66;;;5;60;9;Licenciatura;Noturno;A;AMPLA;F;2;0;0
567.69;;;6;22;9;Licenciatura;Noturno;A;AMPLA;F;1;1;1
538.1;529.29;8.81000000000006;1;21;2;Licenciatura;Noturno;L;PPI ;M;1;1;0
529.29;529.29;0.0;2;20;2;Licenciatura;Noturno;L;PPI ;M;2;1;1
540.23;;;1;19;2;Licenciatura;Noturno;L;PPI ;F;2;0;0
577.03;;;13;18;20;Licenciatura;Integral;A;AMPLA;F;2;1;0
593.16;;;12;22;20;Licenciatura;Integral;A;AMPLA;F;1;0;0
636.21;;;5;18;20;Licenciatura;Integral;A;AMPLA;F;1;1;1
627.51;;;6;20;20;Licenciatura;Integral;A;AMPLA;F;1;1;1
599.26;;;11;18;20;Licenciatura;Integral;A;AMPLA;F;1;0;1
602.26;;;10;18;20;Licenciatura;Integral;A;AMPLA;F;2;1;1
647.1;;;1;22;20;Licenciatura;Integral;A;AMPLA;F;1;1;0
545.4;;;16;19;20;Licenciatura;Integral;A;AMPLA;F;1;1;1
608.57;;;8;19;20;Licenciatura;Integral;A;AMPLA;F;2;1;1
535.81;;;17;26;20;Licenciatura;Integral;A;AMPLA;F;1;1;0
568.01;;;15;20;20;Licenciatura;Integral;A;AMPLA;F;2;1;0
626.2;;;7;25;20;Licenciatura;Integral;A;AMPLA;F;1;1;1
607.86;;;9;20;20;Licenciatura;Integral;A;AMPLA;F;1;1;1
638.94;;;4;19;20;Licenciatura;Integral;A;AMPLA;F;2;1;0
643.79;;;3;20;20;Licenciatura;Integral;A;AMPLA;F;1;1;0
569.26;;;14;28;20;Licenciatura;Integral;A;AMPLA;M;1;1;1
